,Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
64,as1border2,default,1.10.1.1/32,as1core1,1.0.2.2,dynamic,ospf,2,110,
65,as1border2,default,1.0.2.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
66,as2core1,default,2.23.12.0/24,,AUTO/NONE(-1l),GigabitEthernet3/0,connected,0,0,
67,as2dept1,default,3.0.1.0/24,as2dist2,2.34.201.3,dynamic,bgp,50,20,
68,as2border1,default,2.34.101.0/24,as2core2,2.12.12.2,dynamic,ospfE2,20,110,
69,as2core1,default,2.12.21.2/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
70,as1border1,default,10.12.11.1/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
71,as2border2,default,2.23.22.0/24,as2core2,2.12.22.2,dynamic,ospf,2,110,
72,as2border2,default,2.34.101.0/24,as2core2,2.12.22.2,dynamic,ospfE2,20,110,
73,as2dist1,default,2.23.11.3/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
74,as2dist1,default,2.128.1.0/24,as2dept1,2.34.101.4,dynamic,bgp,50,20,
75,as2border1,default,2.12.11.1/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
76,as2core2,default,2.1.3.2/32,as2dist2,2.23.22.3,dynamic,ospf,2,110,
77,as2dist2,default,2.23.11.0/24,as2core1,2.23.12.2,dynamic,ospf,2,110,
78,as2border1,default,2.23.22.0/24,as2core2,2.12.12.2,dynamic,ospf,2,110,
79,as2border1,default,2.1.2.1/32,as2core1,2.12.11.2,dynamic,ospf,2,110,
80,as2border2,default,2.23.12.0/24,as2core1,2.12.21.2,dynamic,ospf,2,110,
81,as1core1,default,1.2.2.2/32,as1border2,1.0.2.1,dynamic,ospf,2,110,
82,as1core1,default,1.0.2.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
83,as2border1,default,2.128.0.0/16,,AUTO/NONE(-1l),null_interface,aggregate,0,200,
84,as2core2,default,2.23.12.0/24,as2dist2,2.23.22.3,dynamic,ospf,2,110,
85,as2border2,default,2.23.11.0/24,as2core1,2.12.21.2,dynamic,ospf,2,110,
86,as2dist1,default,10.12.11.0/24,as2core2,2.23.21.2,dynamic,ospfE2,20,110,
87,as3border1,default,1.0.1.0/24,as1border2,10.13.22.1,dynamic,ibgp,50,200,
88,as2core1,default,2.1.2.1/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
89,as2core2,default,2.1.1.1/32,as2border1,2.12.12.1,dynamic,ospf,2,110,
90,as2core2,default,2.1.2.1/32,as2border2,2.12.22.1,dynamic,ospf,3,110,
91,as1core1,default,2.128.0.0/16,as2border1,10.12.11.2,dynamic,ibgp,50,200,
92,as2dept1,default,1.0.2.0/24,as2dist1,2.34.101.3,dynamic,bgp,50,20,
93,as2border2,default,2.12.21.0/24,,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
94,as2core1,default,2.23.11.2/32,,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
95,as1border1,default,1.0.1.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
96,as2border2,default,2.128.0.0/16,,AUTO/NONE(-1l),null_interface,aggregate,0,200,
97,as2dist1,default,10.23.21.0/24,as2core2,2.23.21.2,dynamic,ospfE2,20,110,
98,as2dept1,default,2.1.1.2/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
99,as1border1,default,10.14.22.0/24,as1core1,1.0.1.2,dynamic,ospfE2,20,110,
100,as1border2,default,1.2.2.2/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
101,as2core1,default,2.12.11.2/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
102,as2border1,default,1.0.2.0/24,as1border1,10.12.11.1,dynamic,bgp,50,20,
103,as2core2,default,10.12.11.0/24,as2border1,2.12.12.1,dynamic,ospfE2,20,110,
104,as2dist1,default,2.34.101.3/32,,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
105,as2border1,default,2.12.12.1/32,,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
106,as1core1,default,1.0.2.2/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
