,Node,VRF,Network,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
65,as2border1,default,2.128.0.0/16,AUTO/NONE(-1l),null_interface,aggregate,0,200,
66,as2border1,default,2.128.0.0/24,2.34.101.4,dynamic,ibgp,50,200,
67,as2border1,default,2.128.0.0/24,2.34.101.4,dynamic,ibgp,50,200,
68,as2border1,default,2.128.0.0/24,2.34.201.4,dynamic,ibgp,50,200,
69,as2border1,default,2.128.0.0/24,2.34.201.4,dynamic,ibgp,50,200,
70,as2border1,default,2.128.1.0/24,2.34.101.4,dynamic,ibgp,50,200,
71,as2border1,default,2.128.1.0/24,2.34.101.4,dynamic,ibgp,50,200,
72,as2border1,default,2.128.1.0/24,2.34.201.4,dynamic,ibgp,50,200,
73,as2border1,default,2.128.1.0/24,2.34.201.4,dynamic,ibgp,50,200,
74,as2border1,default,3.0.1.0/24,10.23.21.3,dynamic,ibgp,50,200,
75,as2border1,default,3.0.1.0/24,10.23.21.3,dynamic,ibgp,50,200,
76,as2border1,default,3.0.2.0/24,10.23.21.3,dynamic,ibgp,50,200,
77,as2border1,default,3.0.2.0/24,10.23.21.3,dynamic,ibgp,50,200,
78,as2border1,default,10.12.11.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
79,as2border1,default,10.12.11.2/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
80,as2border1,default,10.23.21.0/24,2.12.11.2,GigabitEthernet1/0,ospfE2,20,110,
81,as2border1,default,10.23.21.0/24,2.12.12.2,GigabitEthernet2/0,ospfE2,20,110,
82,as2border2,default,1.0.1.0/24,10.12.11.1,dynamic,ibgp,50,200,
83,as2border2,default,1.0.1.0/24,10.12.11.1,dynamic,ibgp,50,200,
84,as2border2,default,1.0.2.0/24,10.12.11.1,dynamic,ibgp,50,200,
85,as2border2,default,1.0.2.0/24,10.12.11.1,dynamic,ibgp,50,200,
86,as2border2,default,2.1.1.1/32,2.12.21.2,GigabitEthernet2/0,ospf,3,110,
87,as2border2,default,2.1.1.1/32,2.12.22.2,GigabitEthernet1/0,ospf,3,110,
88,as2border2,default,2.1.1.2/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
89,as2border2,default,2.1.2.1/32,2.12.21.2,GigabitEthernet2/0,ospf,2,110,
90,as2border2,default,2.1.2.2/32,2.12.22.2,GigabitEthernet1/0,ospf,2,110,
91,as2border2,default,2.1.3.1/32,2.12.21.2,GigabitEthernet2/0,ospf,3,110,
92,as2border2,default,2.1.3.1/32,2.12.22.2,GigabitEthernet1/0,ospf,3,110,
93,as2border2,default,2.1.3.2/32,2.12.21.2,GigabitEthernet2/0,ospf,3,110,
94,as2border2,default,2.1.3.2/32,2.12.22.2,GigabitEthernet1/0,ospf,3,110,
95,as2border2,default,2.12.11.0/24,2.12.21.2,GigabitEthernet2/0,ospf,2,110,
96,as2border2,default,2.12.12.0/24,2.12.22.2,GigabitEthernet1/0,ospf,2,110,
97,as2border2,default,2.12.21.0/24,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
98,as2border2,default,2.12.21.1/32,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
99,as2border2,default,2.12.22.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
100,as2border2,default,2.12.22.1/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
101,as2border2,default,2.23.11.0/24,2.12.21.2,GigabitEthernet2/0,ospf,2,110,
102,as2border2,default,2.23.12.0/24,2.12.21.2,GigabitEthernet2/0,ospf,2,110,
103,as2border2,default,2.23.21.0/24,2.12.22.2,GigabitEthernet1/0,ospf,2,110,
104,as2border2,default,2.23.22.0/24,2.12.22.2,GigabitEthernet1/0,ospf,2,110,
105,as2border2,default,2.34.101.0/24,2.12.21.2,GigabitEthernet2/0,ospfE2,20,110,
106,as2border2,default,2.34.101.0/24,2.12.22.2,GigabitEthernet1/0,ospfE2,20,110,
107,as2border2,default,2.34.201.0/24,2.12.21.2,GigabitEthernet2/0,ospfE2,20,110,
108,as2border2,default,2.34.201.0/24,2.12.22.2,GigabitEthernet1/0,ospfE2,20,110,
109,as2border2,default,2.128.0.0/16,AUTO/NONE(-1l),null_interface,aggregate,0,200,
110,as2border2,default,2.128.0.0/24,2.34.101.4,dynamic,ibgp,50,200,
111,as2border2,default,2.128.0.0/24,2.34.101.4,dynamic,ibgp,50,200,
112,as2border2,default,2.128.0.0/24,2.34.201.4,dynamic,ibgp,50,200,
113,as2border2,default,2.128.0.0/24,2.34.201.4,dynamic,ibgp,50,200,
114,as2border2,default,2.128.1.0/24,2.34.101.4,dynamic,ibgp,50,200,
115,as2border2,default,2.128.1.0/24,2.34.101.4,dynamic,ibgp,50,200,
116,as2border2,default,2.128.1.0/24,2.34.201.4,dynamic,ibgp,50,200,
117,as2border2,default,2.128.1.0/24,2.34.201.4,dynamic,ibgp,50,200,
118,as2border2,default,3.0.1.0/24,10.23.21.3,dynamic,bgp,50,20,
119,as2border2,default,3.0.2.0/24,10.23.21.3,dynamic,bgp,50,20,
120,as2border2,default,10.12.11.0/24,2.12.21.2,GigabitEthernet2/0,ospfE2,20,110,
121,as2border2,default,10.12.11.0/24,2.12.22.2,GigabitEthernet1/0,ospfE2,20,110,
122,as2border2,default,10.23.21.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
123,as2border2,default,10.23.21.2/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
124,as2core1,default,1.0.1.0/24,10.12.11.1,dynamic,ibgp,50,200,
125,as2core1,default,1.0.2.0/24,10.12.11.1,dynamic,ibgp,50,200,
