,Node,VRF,Network,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
290,as2dist2,default,10.12.11.0/24,2.23.22.2,GigabitEthernet0/0,ospfE2,20,110,
291,as2dist2,default,10.23.21.0/24,2.23.12.2,GigabitEthernet1/0,ospfE2,20,110,
292,as2dist2,default,10.23.21.0/24,2.23.22.2,GigabitEthernet0/0,ospfE2,20,110,
293,as3border1,default,1.0.1.0/24,10.13.22.1,dynamic,ibgp,50,200,
294,as3border1,default,1.0.2.0/24,10.13.22.1,dynamic,ibgp,50,200,
295,as3border1,default,2.128.0.0/16,10.23.21.2,dynamic,bgp,50,20,
296,as3border1,default,3.0.1.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
297,as3border1,default,3.0.1.1/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
298,as3border1,default,3.0.2.0/24,3.0.1.2,GigabitEthernet0/0,ospf,2,110,
299,as3border1,default,3.1.1.1/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
300,as3border1,default,3.2.2.2/32,3.0.1.2,GigabitEthernet0/0,ospf,3,110,
301,as3border1,default,3.10.1.1/32,3.0.1.2,GigabitEthernet0/0,ospf,2,110,
302,as3border1,default,10.13.22.0/24,3.0.1.2,GigabitEthernet0/0,ospfE2,20,110,
303,as3border1,default,10.23.21.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
304,as3border1,default,10.23.21.3/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
305,as3border2,default,1.0.1.0/24,10.13.22.1,dynamic,bgp,50,20,
306,as3border2,default,1.0.2.0/24,10.13.22.1,dynamic,bgp,50,20,
307,as3border2,default,2.128.0.0/16,10.23.21.2,dynamic,ibgp,50,200,
308,as3border2,default,3.0.1.0/24,3.0.2.2,GigabitEthernet1/0,ospf,2,110,
309,as3border2,default,3.0.2.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
310,as3border2,default,3.0.2.1/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
311,as3border2,default,3.1.1.1/32,3.0.2.2,GigabitEthernet1/0,ospf,3,110,
312,as3border2,default,3.2.2.2/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
313,as3border2,default,3.10.1.1/32,3.0.2.2,GigabitEthernet1/0,ospf,2,110,
314,as3border2,default,10.13.22.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
315,as3border2,default,10.13.22.3/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
316,as3border2,default,10.23.21.0/24,3.0.2.2,GigabitEthernet1/0,ospfE2,20,110,
317,as3core1,default,1.0.1.0/24,10.13.22.1,dynamic,ibgp,50,200,
318,as3core1,default,1.0.2.0/24,10.13.22.1,dynamic,ibgp,50,200,
319,as3core1,default,2.128.0.0/16,10.23.21.2,dynamic,ibgp,50,200,
320,as3core1,default,3.0.1.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
321,as3core1,default,3.0.1.2/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
322,as3core1,default,3.0.2.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
323,as3core1,default,3.0.2.2/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
324,as3core1,default,3.1.1.1/32,3.0.1.1,GigabitEthernet1/0,ospf,2,110,
325,as3core1,default,3.2.2.2/32,3.0.2.1,GigabitEthernet0/0,ospf,2,110,
326,as3core1,default,3.10.1.1/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
327,as3core1,default,10.13.22.0/24,3.0.2.1,GigabitEthernet0/0,ospfE2,20,110,
328,as3core1,default,10.23.21.0/24,3.0.1.1,GigabitEthernet1/0,ospfE2,20,110,
329,as3core1,default,90.90.90.0/24,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
330,as3core1,default,90.90.90.0/24,AUTO/NONE(-1l),GigabitEthernet3/0,connected,0,0,
331,as3core1,default,90.90.90.1/32,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
332,as3core1,default,90.90.90.2/32,AUTO/NONE(-1l),GigabitEthernet3/0,local,0,0,
333,host1,default,0.0.0.0/0,2.128.0.1,eth0,static,0,1,
334,host1,default,2.128.0.0/24,AUTO/NONE(-1l),eth0,connected,0,0,
335,host1,default,2.128.0.101/32,AUTO/NONE(-1l),eth0,local,0,0,
336,host2,default,0.0.0.0/0,2.128.1.1,eth0,static,0,1,
337,host2,default,2.128.1.0/24,AUTO/NONE(-1l),eth0,connected,0,0,
338,host2,default,2.128.1.101/32,AUTO/NONE(-1l),eth0,local,0,0,
